channel_code,en_acronym,fr_acronym,channel_name
10000,,,PUBLIC SECTOR INSTITUTIONS
11000,,,Donor Government
11001,,,Central Government
11002,,,Local Government
11003,,,Public corporations
11004,,,Other public entities in donor country
12000,,,Recipient Government
12001,,,Central Government
12002,,,Local Government
12003,,,Public corporations
12004,,,Other public entities in recipient country
13000,,,Third Country Government (Delegated co-operation)
30000,,,PUBLIC-PRIVATE PARTNERSHIPS (PPPs) and NETWORKS
30001,GAIN,GAIN,Global Alliance for Improved Nutrition 
30003,GeSCI,GeSCI,Global e-Schools and Communities Initiative 
30004,GWP,GWP,Global Water Partnership 
30005,IAVI,IAVI,International AIDS Vaccine Initiative 
30006,IPM,IPM,International Partnership on Microbicides 
30007,GAID,GAID,Global Alliance for ICT and Development
30008,,,Cities Alliance
30009,SAS,SAS,Small Arms Survey
30010,UNITAID,UNITAID,International drug purchase facility
30011,IUCN,UICN,International Union for the Conservation of Nature
30012,GCPF,GCPF,Global Climate Partnership Fund
30013,MEF,MEF,Microfinance Enhancement Facility
30014,REGMIFA,REGMIFA,"Regional Micro, Small and Medium Enterprise Investment Fund for Sub-Saharan Africa"
30015,GEEREF,GEEREF,Global Energy Efficiency and Renewable Energy Fund
30016,EFSE,EFSE,European Fund for Southeast Europe
30017,SANAD,SANAD,"SANAD Fund for Micro, Small and Medium Enterprises"
30018,AFC,AFC,Africa Finance Corporation
30019,TCX,TCX,Currency Exchange Fund N.V.
30020,GEEREF II,GEEREF II,Global Energy Efficiency and Renewable Energy Fund II
31000,,,Public-Private Partnership (PPP)
31001,GDN,GDN,Global Development Network
31002,GKP,GKP,Global Knowledge Partnership
31003,ILC,ILC,International Land Coalition
31004,EITI,ITIE,Extractive Industries Transparency Initiative International Secretariat
31005,PNoWB,RPsBM,Parliamentary Network on the World Bank
31006,CEPI,CIPE,Coalition for Epidemic Preparedness Innovations
31007,DNDi,DNDi,Drugs for Neglected Diseases initative
32000,,,Network
40000,,,MULTILATERAL ORGANISATIONS
41000,,,"United Nations agency, fund or commission (UN)"
41100,,,UN entities (core contributions reportable in full)
41101,UNCCD,CCD ,Convention to Combat Desertification 
41102,DLCO-EA,OLCP-EA,Desert Locust Control Organisation for Eastern Africa 
41103,ECA,CEA,Economic Commission for Africa 
41104,ECLAC,CEPALC,Economic Commission for Latin America and the Caribbean
41105,ESCWA,CESAO,Economic and Social Commission for Western Asia
41106,ESCAP,CESAP,Economic and Social Commission for Asia and the Pacific 
41107,IAEA-TCF,AIEA-FTC,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only)
41108,IFAD,FIDA,International Fund for Agricultural Development 
41110,UNAIDS,ONUSIDA,Joint United Nations Programme on HIV/AIDS 
41111,UNCDF,FENU,United Nations Capital Development Fund 
41112,UNCTAD,CNUCED,United Nations Conference on Trade and Development 
41114,UNDP,PNUD,United Nations Development Programme 
41116,UNEP,PNUE,United Nations Environment Programme 
41119,UNFPA,UNFPA,United Nations Population Fund 
41120,UN Habitat,UN Habitat,United Nations Human Settlement Programme 
41121,UNHCR,HCR,United Nations Office of the United Nations High Commissioner for Refugees 
41122,UNICEF,UNICEF,United Nations Children’s Fund 
41123,UNIDO,ONUDI,United Nations Industrial Development Organisation 
41125,UNITAR,UNITAR,United Nations Institute for Training and Research 
41126,UNMAS,UNMAS,United Nations Mine Action Service 
41127,UNOCHA,OCHA,United Nations Office of Co-ordination of Humanitarian Affairs 
41128,UNODC,UNODC,United Nations Office on Drugs and Crime 
41129,UNRISD,UNRISD,United Nations Research Institute for Social Development 
41130,UNRWA,UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East
41131,UNSSC,UNSSC,United Nations System Staff College 
41132,UNSCN,UNSCN,United Nations System Standing Committee on Nutrition 
41133,UNSIA,UNSIA,United Nations Special Initiative on Africa 
41134,UNU,UNU,United Nations University (including Endowment Fund) 
41135,UNV,UNV,United Nations Volunteers 
41136,UNVFD,,United Nations Voluntary Fund on Disability 
41137,UNVFTC,,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights
41138,UNVFVT,,United Nations Voluntary Fund for Victims of Torture 
41140,WFP,PAM,World Food Programme 
41141,PBF,PBF,United Nations Peacebuilding Fund
41142,UNDEF,FNUD,United Nations Democracy Fund
41143,WHO-CVCA,OMS-CVSOD,World Health Organisation - core voluntary contributions account
41144,ILO-RBSA,OIT-CSBO,International Labour Organisation - Regular Budget Supplementary Account
41145,IMO-TCF,OMI-PICT,International Maritime Organization - Technical Co-operation Fund
41146,UNWOMEN,ONU Femmes,United Nations Entity for Gender Equality and the Empowerment of Women
41147,CERF,CERF,Central Emergency Response Fund
41148,UNDPPA-SZA,UNDPPA-SZA,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs."
41149,UNDCO,UNDCO,United Nations Development Coordination Office
41150,UNIDIR,UNIDIR,United Nations Institute for Disarmament Research
41151,IARC,CIRC,International Agency for Research on Cancer
41300,,,Other UN (Core Contributions Reportable in Part)
41301,FAO,FAO,Food and Agricultural Organisation
41302,ILO-Assessed,OIT-Obligatoires,International Labour Organisation - Assessed Contributions
41303,ITU,UIT,International Telecommunications Union
41304,UNESCO,UNESCO,"United Nations Educational, Scientific and Cultural Organisation"
41305,UN,ONU,United Nations
41306,UPU,UPU,Universal Postal Union 
41307,WHO-Assessed,OMS-obligatoires,World Health Organisation - assessed contributions
41308,WIPO,OMPI,World Intellectual Property Organisation 
41309,WMO,OMM,World Meteorological Organisation 
41310,UNDPO,UNDPO,"United Nations Department of Peace Operations – UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++."
41312,IAEA-Assessed,AIEA-obligatoires,International Atomic Energy Agency - assessed contributions
41313,OHCHR,HCDH,United Nations High Commissioner for Human Rights (extrabudgetary contributions only)
41314,UNECE,CEE-ONU,United Nations Economic Commission for Europe (extrabudgetary contributions only)
41315,UNDRR,UNDRR,United Nations Office for Disaster Risk Reduction
41316,UNFCCC,CCNUCC,United Nations Framework Convention on Climate Change 
41317,GCF,GCF,Green Climate Fund
41318,GM,MM,Global Mechanism
41319,UNWTO,OMT,World Tourism Organization
41320,UN-TBLDC,UN-TBLDC,Technology Bank for Least Developed Countries
41321,WHO-SPRP,OMS-PSPI,World Health Organisation - Strategic Preparedness and Response Plan
41400,,,UN inter-agency pooled funds
41401,UN-MPTFO,UN-MPTFO,UN-Multi Partner Trust Fund Office
41402,Joint SDG Fund,Fonds conjoint des ODD,Joint Sustainable Development Goals Fund
41403,COVID-19 MPTF,COVID-19 MPTF,COVID-19 Response and Recovery Multi-Partner Trust Fund
41500,,,UN single-agency thematic funds
41501,UN-REDD,,United Nations Reducing Emissions from Deforestation and Forest Degradation
41502,UNOPS,UNOPS,United Nations Office for Project Services
41503,UN-CBPF,,UN-led Country-based Pooled Funds
41600,,,Existing UN channels not included in Standard I - UN entity- of the UN Data Cube reporting framework
42000,,,European Union Institution (EU)
42001,EC,CE,European Commission - Development Share of Budget
42003,EDF,FED,European Commission - European Development Fund
42004,EIB,BEI,European Investment Bank 
43000,,,International Monetary Fund (IMF)
43001,IMF-PRGT,FMI-FRPC,International Monetary Fund - Poverty Reduction and Growth Trust 
43002,IMF-PRG-HIPC,FMI-FRPC-PPTE,"International Monetary Fund - Poverty Reduction and Growth - Heavily Indebted Poor Countries Debt Relief Initiative Trust Fund [includes HIPC, Extended Credit Facility (ECF), and ECF-HIPC sub-accounts] "
43003,IMF-EPCA-ENDA,FMI-EPCA-ENDA,International Monetary Fund - Subsidization of Emergency Post Conflict Assistance/Emergency Assistance for Natural Disasters for PRGT-eligible members
43004,IMF-PRG-MDRI,FMI-FRPC-IADM,International Monetary Fund - Poverty Reduction and Growth - Multilateral Debt Relief Initiative Trust
43005,IMF-PCDR,FMI-ADAC,International Monetary Fund - Post-Catastrophe Debt Relief Trust
43006,IMF-CCR,FMI-ARC,Catastrophe Containment and Relief Trust
43007,IMF-RST,FMI-RST,IMF Resilience and Sustainability Trust
44000,,,World Bank Group (WB)
44001,IBRD,BIRD,International Bank for Reconstruction and Development 
44002,IDA,IDA,International Development Association 
44003,IDA-HIPC,IDA-PPTE,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund 
44004,IFC,SFI,International Finance Corporation 
44005,MIGA,AMGI,Multilateral Investment Guarantee Agency 
44006,AMCs,AMC,Advance Market Commitments
44007,IDA-MDRI,IDA-IADM,International Development Association - Multilateral Debt Relief Initiative
44008,PMI,PMI,Partnership for Market Implementation
45001,WTO-ITC,OMC-CCI,World Trade Organisation - International Trade Centre 
45002,WTO-ACWL,OMC-CCLO,World Trade Organisation - Advisory Centre on WTO Law
45003,WTO-DDAGTF,,World Trade Organisation - Doha Development Agenda Global Trust Fund 
46000,,,Regional Development Bank
46002,Afr.DB,BAfD,African Development Bank
46003,Afr.DF,FAD,African Development Fund 
46004,AsDB,BAsD,Asian Development Bank
46005,AsDF,FAsD,Asian Development Fund 
